id	Airline	A_ICAO	Time	InitialDate	FinalDate
220437	DLH	EBBR	605	2	31
220438	SAS	EBBR	785	2	30
220439	AUA	EBBR	720	2	31
220440	RYR	EBBR	1320	2	31
220445	DLH	EBBR	685	2	31
220446	RYR	EBBR	740	2	31
220448	AZA	EBBR	645	2	17
220451	EZS	EBBR	755	2	31
220452	AEA	EBBR	1270	2	31
220455	RYR	EBBR	675	2	31
220456	BEL	EBBR	510	2	28
220457	BEL	EBBR	970	10	31
220467	BEL	EBBR	1195	4	30
220468	BEL	EBBR	595	2	22
220469	IBE	EBBR	595	2	31
220470	BEL	EBBR	730	2	31
220473	BEL	EBBR	1065	6	23
220476	TAP	EBBR	1105	4	30
220486	IBE	EBBR	860	2	31
220487	DLH	EBBR	1280	3	30
220488	KLM	EBBR	410	3	30
220492	TAP	EBBR	875	4	31
220494	DLH	EBBR	1355	3	31
220496	SAS	EBBR	1360	3	31
220498	BEL	EBBR	570	4	31
220499	BEL	EBBR	460	4	24
220502	BEL	EBBR	1130	4	27
220504	AEA	EBBR	785	4	31
220505	CAI	EBBR	585	4	30
220506	KLM	EBBR	1145	4	25
220531	BEL	EBBR	1170	5	27
220544	DLH	EBBR	885	7	31
220551	BEL	EBBR	905	8	28
220554	RYR	EBBR	1235	9	30
220570	BEL	EBBR	1085	14	21
220581	KLM	EBBR	685	15	31
220585	RYR	EBBR	1125	15	22
220588	ANE	EBBR	590	19	23
220589	VLG	EBBR	1400	22	28
220590	RWD	EGKK	1290	0	31
220591	BEL	UNKNOWN	315	0	29
220592	BEL	LIML	820	0	17
220596	AMC	UNKNOWN	1145	0	28
220597	AMC	LMML	1140	14	30
220598	THA	VTBS	445	3	31
220601	SWR	LSZH	890	0	31
220602	THY	LTBA	1210	0	29
220603	BEL	LHBP	860	0	29
220605	BEL	LPPT	980	0	31
220606	AZA	LIRF	1035	0	30
220608	BAW	EGLL	945	0	31
220609	SWR	LSZH	1170	0	29
220610	RAM	UNKNOWN	1055	0	29
220611	ANA	UNKNOWN	940	0	31
220612	BEL	EDDT	800	0	31
220613	UAE	OMDB	1155	0	31
220614	IBE	LEMD	1335	0	28
220615	BEL	EDDT	1195	0	30
220617	BEL	EGLL	795	0	29
220620	VLG	LEBL	890	0	31
220621	AZA	LIML	905	0	14
220622	AZA	LIMC	930	22	29
220623	AFL	UUEE	1345	0	30
220624	BEL	EKCH	815	0	28
220625	BEL	UNKNOWN	895	0	29
220627	BEL	LPFR	975	0	28
220629	BEL	LFBO	815	0	29
220634	BEL	UNKNOWN	845	0	14
220635	BEL	ENGM	850	3	29
220636	BEL	GOBD	295	0	29
220640	UAE	OMDW	1010	13	29
220641	UAL	KIAD	430	0	31
220642	MSR	UNKNOWN	905	0	31
220643	AFL	UUEE	1040	0	31
220644	DHK	71KY	1260	0	27
220645	QTR	OTHH	455	1	31
220646	THY	UNKNOWN	410	1	31
220647	ETD	UNKNOWN	425	1	31
220648	ETD	OMAA	430	18	29
220649	BEL	LPFR	790	2	28
220650	BEL	LEMG	740	2	29
220651	BEL	LEBL	1045	2	25
220652	BEL	UNKNOWN	1035	6	29
220655	BEL	LFLL	780	2	31
220656	JAF	UNKNOWN	740	2	29
220657	BEL	UNKNOWN	1395	2	30
220658	BEL	EGPH	1120	2	25
220659	DLH	EDDF	875	2	31
220662	BEL	LGIR	840	3	27
220664	BEL	LIRF	755	2	31
220666	TWI	UNKNOWN	955	2	27
220667	RYR	UNKNOWN	1115	2	22
220668	BEL	UNKNOWN	975	2	28
220669	KLM	EHAM	1060	2	25
220670	RYR	UNKNOWN	720	2	29
220671	RYR	LEBL	980	3	28
220672	IBE	LEMD	1065	2	29
220673	BEL	LEMG	965	2	28
220674	RYR	LPPT	790	2	28
220675	UAE	OMDB	800	2	31
220676	RYR	LEMG	1120	2	28
220677	BEL	LOWW	665	2	30
220678	BEL	UNKNOWN	970	2	28
220679	BEL	UNKNOWN	960	2	28
220680	JAF	UNKNOWN	805	2	29
220681	BCS	EDDP	315	2	31
220682	DLH	EDDF	1110	2	31
220683	BEL	LEMD	895	2	31
220685	AEA	LEMD	1050	2	29
220688	BEL	LKVO	810	2	25
220689	BEL	EDDH	755	2	28
220691	BEL	UNKNOWN	810	2	29
220692	BEL	LIMC	970	2	28
220693	FIN	EFHK	1095	2	28
220695	BEL	LGAV	1000	6	28
220696	BEL	UNKNOWN	780	2	25
220697	TAP	LPPT	885	2	29
220701	BEL	ESGG	530	3	31
220703	DLH	EDDM	490	3	31
220705	EZS	LSGG	650	3	31
220706	BEL	LEMD	510	3	28
220707	BEL	EGPH	515	3	29
220708	BEL	UNKNOWN	1175	3	22
220710	DLH	EDDF	1225	3	28
220711	DLH	EDDF	625	3	31
220712	BAW	EGLL	620	3	29
220713	AEE	LGAV	680	7	30
220714	RYR	LIMC	625	3	30
220717	DLH	EDDM	1170	3	30
220718	BEL	LSGG	495	3	28
220719	BEL	ENGM	530	3	28
220721	AUA	LOWW	550	3	31
220722	AEA	LEMD	585	3	29
220723	FEG	UNKNOWN	425	3	29
